,Unnamed: 0,regla,Cassual-supp,Cassual-conf,Max-conf,solucion,semilla
0,0,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ', 'bmi = [18.49] ∧ diabetes = Si ∧ race = AfricanAmerican ')",0.9998871402595774,0.0,0.0,Mejor_Cassual-supp,0
1,1,"('gender = Female ∧ age = [10, 19] ∧ location = Wisconsin ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ', 'hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [200] ')",0.990908520910402,0.9954542034510434,1.0,Mejor_Cassual-conf,0
2,2,"('gender = Female ∧ age = [10, 19] ∧ location = Wisconsin ∧ bmi = [25, 29.99] ∧ diabetes = No ∧ race = Asian ', 'hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [200] ')",0.990908520910402,0.9954542034510434,1.0,Mejor_Max-conf,0
3,3,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ', 'bmi = [18.49] ∧ diabetes = Si ∧ race = AfricanAmerican ')",0.9998871402595774,0.0,0.0,Rodilla,0
4,4,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.7, 6.4] ∧ diabetes = Si ∧ race = Hispanic ', 'age = [60] ∧ heart_disease = No ∧ bmi = [18.49] ∧ blood_glucose_level = [200] ')",0.9996865007210484,0.0,0.0,Mejor_Cassual-supp,17
5,5,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ bmi = [30] ∧ blood_glucose_level = [200] ', 'smoking_history = not current ')",0.9067151545551444,0.9533558225276516,1.0,Mejor_Cassual-conf,17
6,6,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ bmi = [30] ∧ blood_glucose_level = [200] ', 'smoking_history = not current ')",0.9067151545551444,0.9533558225276516,1.0,Mejor_Max-conf,17
7,7,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ hbA1c_level = [5.7, 6.4] ∧ diabetes = Si ∧ race = Hispanic ', 'age = [60] ∧ heart_disease = No ∧ bmi = [18.49] ∧ blood_glucose_level = [200] ')",0.9996865007210484,0.0,0.0,Rodilla,17
8,8,"('gender = Female ∧ location = Wisconsin ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ race = Other ', 'age = [20, 59] ∧ hypertension = Si ∧ bmi = [18.49] ∧ diabetes = Si ')",1.0,0.0,0.0,Mejor_Cassual-supp,34
9,9,"('location = Wisconsin ∧ heart_disease = Si ∧ bmi = [25, 29.99] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Other ', 'gender = Female ∧ age = [60] ∧ smoking_history = not current ')",0.9700796288168536,0.9850390639696016,1.0,Mejor_Cassual-conf,34
10,10,"('location = Wisconsin ∧ heart_disease = Si ∧ bmi = [25, 29.99] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Other ', 'gender = Female ∧ age = [60] ∧ smoking_history = not current ')",0.9700796288168536,0.9850390639696016,1.0,Mejor_Max-conf,34
11,11,"('gender = Female ∧ location = Wisconsin ∧ heart_disease = No ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ race = Other ', 'age = [20, 59] ∧ hypertension = Si ∧ bmi = [18.49] ∧ diabetes = Si ')",1.0,0.0,0.0,Rodilla,34
12,12,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ heart_disease = Si ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [80, 159] ', 'bmi = [18.49] ∧ diabetes = Si ∧ race = Asian ')",0.9999623800865258,0.0,0.0,Mejor_Cassual-supp,51
13,13,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ hypertension = No ∧ smoking_history = not current ∧ bmi = [30] ∧ hbA1c_level = [5.7, 6.4] ', 'blood_glucose_level = [80, 159] ∧ race = Asian ')",0.8384977114552636,0.9192458177622832,1.0,Mejor_Cassual-conf,51
14,14,"('gender = Female ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ∧ race = Caucasian ', 'age = [10, 19] ∧ location = Wisconsin ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ')",0.9751833970781868,0.5002525252525253,1.0,Mejor_Max-conf,51
15,15,"('gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ heart_disease = Si ∧ smoking_history = not current ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [80, 159] ', 'bmi = [18.49] ∧ diabetes = Si ∧ race = Asian ')",0.9999623800865258,0.0,0.0,Rodilla,51
16,16,"('age = [60] ∧ location = Wisconsin ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Caucasian ', 'gender = Female ∧ hypertension = No ∧ heart_disease = Si ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ')",0.9995736409806256,0.0,0.0,Mejor_Cassual-supp,68
17,17,"('age = [60] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ race = Caucasian ', 'gender = Female ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ')",0.9753965765878738,0.9876981340288924,1.0,Mejor_Cassual-conf,68
18,18,"('age = [60] ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [200] ∧ race = Caucasian ', 'gender = Female ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ')",0.9753965765878738,0.9876981340288924,1.0,Mejor_Max-conf,68
19,19,"('age = [60] ∧ location = Wisconsin ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Caucasian ', 'gender = Female ∧ hypertension = No ∧ heart_disease = Si ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ')",0.9995736409806256,0.0,0.0,Rodilla,68
20,20,"('gender = Female ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [30] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Asian ', 'age = [0, 9] ∧ location = Wisconsin ')",0.9990720421343032,0.4995422853130016,0.0,Mejor_Cassual-supp,85
21,21,"('gender = Female ∧ location = Wisconsin ∧ hypertension = Si ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ', 'age = [20, 59] ∧ bmi = [30] ')",0.8431249608125901,0.9215585457920016,1.0,Mejor_Cassual-conf,85
22,22,"('gender = Female ∧ location = Wisconsin ∧ hypertension = Si ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ', 'age = [20, 59] ∧ bmi = [30] ')",0.8431249608125901,0.9215585457920016,1.0,Mejor_Max-conf,85
23,23,"('gender = Female ∧ hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [30] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = Asian ', 'age = [0, 9] ∧ location = Wisconsin ')",0.9990720421343032,0.4995422853130016,0.0,Rodilla,85
24,24,"('gender = Female ∧ hypertension = Si ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ∧ race = Hispanic ', 'age = [0, 9] ∧ location = Wisconsin ')",0.9985579033168224,0.0,0.0,Mejor_Cassual-supp,102
25,25,"('gender = Female ∧ location = Wisconsin ∧ bmi = [30] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = AfricanAmerican ', 'age = [60] ∧ hypertension = No ∧ smoking_history = not current ')",0.933061633958242,0.966530397271268,1.0,Mejor_Cassual-conf,102
26,26,"('gender = Female ∧ location = Wisconsin ∧ bmi = [30] ∧ hbA1c_level = [5.7, 6.4] ∧ blood_glucose_level = [160, 199] ∧ diabetes = No ∧ race = AfricanAmerican ', 'age = [60] ∧ hypertension = No ∧ smoking_history = not current ')",0.933061633958242,0.966530397271268,1.0,Mejor_Max-conf,102
27,27,"('gender = Female ∧ hypertension = Si ∧ smoking_history = not current ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ∧ race = Hispanic ', 'age = [0, 9] ∧ location = Wisconsin ')",0.9985579033168224,0.0,0.0,Rodilla,102
28,28,"('hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [160, 199] ∧ race = AfricanAmerican ', 'gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ diabetes = Si ')",0.9997617405479968,0.4999937285988435,0.0,Mejor_Cassual-supp,119
29,29,"('age = [20, 59] ∧ location = Wisconsin ∧ hypertension = Si ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [80, 159] ∧ race = AfricanAmerican ', 'gender = Female ∧ bmi = [18.5, 24.99] ')",0.9246723932534956,0.9623352519970404,1.0,Mejor_Cassual-conf,119
30,30,"('age = [20, 59] ∧ location = Wisconsin ∧ hypertension = Si ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [80, 159] ∧ race = AfricanAmerican ', 'gender = Female ∧ bmi = [18.5, 24.99] ')",0.9246723932534956,0.9623352519970404,1.0,Mejor_Max-conf,119
31,31,"('hypertension = No ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [160, 199] ∧ race = AfricanAmerican ', 'gender = Female ∧ age = [0, 9] ∧ location = Wisconsin ∧ diabetes = Si ')",0.9997617405479968,0.4999937285988435,0.0,Rodilla,119
32,32,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ diabetes = No ∧ race = Asian ', 'hypertension = Si ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ∧ blood_glucose_level = [160, 199] ')",0.999824440403787,0.4999937289921236,0.0,Mejor_Cassual-supp,136
33,33,"('location = Wisconsin ∧ hypertension = Si ∧ hbA1c_level = [6.5] ∧ diabetes = No ∧ race = Caucasian ', 'gender = Female ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ')",0.9147281961251488,0.9573635634028892,1.0,Mejor_Cassual-conf,136
34,34,"('location = Wisconsin ∧ hypertension = Si ∧ hbA1c_level = [6.5] ∧ diabetes = No ∧ race = Caucasian ', 'gender = Female ∧ heart_disease = No ∧ smoking_history = not current ∧ bmi = [25, 29.99] ')",0.9147281961251488,0.9573635634028892,1.0,Mejor_Max-conf,136
35,35,"('gender = Female ∧ age = [60] ∧ location = Wisconsin ∧ heart_disease = No ∧ hbA1c_level = [5.7, 6.4] ∧ diabetes = No ∧ race = Asian ', 'hypertension = Si ∧ smoking_history = not current ∧ bmi = [18.5, 24.99] ∧ blood_glucose_level = [160, 199] ')",0.999824440403787,0.4999937289921236,0.0,Rodilla,136
36,36,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = Si ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ', 'age = [0, 9] ∧ smoking_history = not current ∧ diabetes = No ∧ race = AfricanAmerican ')",1.0,0.0,0.0,Mejor_Cassual-supp,153
37,37,"('gender = Female ∧ age = [10, 19] ∧ smoking_history = not current ∧ hbA1c_level = [6.5] ∧ diabetes = No ∧ race = AfricanAmerican ', 'location = Wisconsin ∧ hypertension = No ')",0.9813906828014296,0.9906952247191012,1.0,Mejor_Cassual-conf,153
38,38,"('gender = Female ∧ age = [60] ∧ heart_disease = No ∧ bmi = [30] ∧ hbA1c_level = [5.6] ∧ blood_glucose_level = [80, 159] ∧ diabetes = No ', 'location = Wisconsin ∧ hypertension = Si ∧ smoking_history = not current ∧ race = Asian ')",0.99092106088156,0.5006896551724138,1.0,Mejor_Max-conf,153
39,39,"('gender = Female ∧ location = Wisconsin ∧ hypertension = No ∧ heart_disease = Si ∧ bmi = [18.49] ∧ hbA1c_level = [6.5] ∧ blood_glucose_level = [80, 159] ', 'age = [0, 9] ∧ smoking_history = not current ∧ diabetes = No ∧ race = AfricanAmerican ')",1.0,0.0,0.0,Rodilla,153
